Name something you never want your kid to bring home.,Name a profession that needs a raise.,"Name something that adults are afraid of, even though they shouldn’t be."
,,teenagers 
Rabid Creature,Teacher,Public Speaking
a vape,docters,taxes
A boy ,Teachers ,Children 
a bitten eraser,A McDonald's worker,Taxes
Drugs,Teachers,taxes
drugs ,teaching ,dong their taxes 
A My Hero Academia Cosplay,Teaching,their boss asking them to come in for a meeting
snake ,teachers ,rollercoasters 
A bear,mcdonalds worker,a bear
Lice,Teacher,Heights
Significant other,teaching,Girlfriends/Boyfriends
dead animal,Teacher,Boss
A corpse,Teaching,
drugs,teacher,their children growing up
A girlfriend,Teacher,Students
Disease,Teacher,
A bruise ,Deli clerks,Kids 
Bad grades,Teacher ,The dark 
a snake,these teachers,tiktok
Pbs Kids,Disney ,Bad children 
Drugs,Teaching,Ghosts
homework,teachers,spiders
Radioactive Materials.,Therapists,Taxes
a bad attitude,janitors,the IRS
A dead animal carcass,Teacher,Kids
A child,pizza delivery guy,heights
,,Heights
Alcohol,Teacher,Heights
Food,teacher ,bugs 
an attitude,cafeteria workers,teenagers
a pet snake ,car mechanic ,kids
legos,nurses,spiders
Drugs ,Teacher,Tik Tok
A convict,teacher,spiders
Drugs,Doctors,Technology
a gun,teachers ,taxes 
a wild animal ,teacher ,bugs 
